organization,address,zip,main_phone,hours,payment,age_range_served,other_languages,behavioral_services_types,crisis_services,grief_services_availability,location
Access Community Health Network - Doctors Medical Center,6240 W. 55th St.,60638,773-284-2200,Weekends: Saturday 9am - 1pm (1st & 3rd),Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.778630996 41.792672985)
Access Community Health Network - Gary Comer Youth Center,7200 S. Ingleside Ave.,60619,773-324-6942,"Weekdays: Monday, Tuesday, & Friday 8am - 5:30pm; Wednesday & Thursday 7:30am-7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.60244599 41.764062993)
Access Community Health Network - Grand Boulevard Health and Specialty Center,5401 S. Wentworth Ave.,60609,773-288-6900,Weekends: Saturday 8am - 12pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.630313974 41.796236006)
Access Community Health Network - Holy Cross,"2701 W. 68th St., 3 South",60629,773-434-4040,Weekdays: Monday & Thursday 8am - 5:30pm; Tuesday & Friday 8am - 5pm; Wednesday 8am - 7pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.690959977 41.769295983)
Access Community Health Network - Humboldt Park Family Health Center,3202 W. North Ave.,60647,773-278-1880,Weekends: Saturday 7:30am - 2pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.707158254 41.910233316)
Access Community Health Network - Kedzie Family Health Center,3229-43 W. 47th Pl.,60632,773-254-6044,"Weekdays: Monday, Tuesday, Wednesday 8:30am-5pm; Thursday 8:30am-7pm; Friday 8:30am-6pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.705200998 41.805955997)
Access Community Health Network - Madison Family Health Center,3800 W. Madison St.,60624,773-826-6600,Weekends: Saturday 8:30am-3pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.721125021 41.881091)
Access Community Health Network - Pilsen Family Health Center,1817 S. Loomis St.,60657,312-666-6511,"Weekdays: Monday, Wednesday, & Friday 8am - 5pm; Tuesday & Thursday 8am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.660969024 41.85733501)
Access Community Health Network - Plaza Family Health Center,2533 W. Cermak Rd.,60608,773-523-0900,Weekends: Saturday 8am 12pm (except 5th),Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old; Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.689122999 41.850567)
Access Community Health Network - Rogers Park Family Health Center,1555 W. Howard St.,60626,773-764-7146,"Weekdays: Monday, Wednesday, & Friday 8:30am - 5pm; Tuesday & Thursday 9:30am - 6pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting;Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.670406964 42.01911098)
Access Community Health Network - Sinai,"2653 W. Ogden Ave., 3rd Floor",60608,773-522-6100,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.692940034 41.86174498)
Access Community Health Network - Southwest Family Health Center,4839 W. 47th St.,60638,773-735-2345,Weekends: Saturday 9am - 1pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.744798031 41.807305986)
Access Community Health Network - Warren Family Health Center,2409 W. Warren Blvd.,60612,312-733-4475,Weekdays: Monday - Friday 6:30am - 5:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.686900034 41.881828984)
Access Community Health Network - Westside Family Health Center,3752 W. 16th St.,60623,773-762-2435,Weekends: Saturday 7am - 3pm (1st & 3rd),Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.719734967 41.859113985)
Access Community Health Network Servicios Medicos La Villita,3303 W. 26th St.,60623,773-277-6589,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.707785977 41.84421599)
"Ada S. McKinley Community Services, Inc. - Behavior Health and Clinical Services",2715 W. 63rd St.,60629,773-918-6100,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;,Spanish,Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry; Psychological Testing;,TRUE,FALSE,POINT (-87.691607982 41.778942003)
"Ada S. McKinley Community Services, Inc. - Educational Services",100 E. 34th St.,60630,773-918-6101,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;,Spanish,Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry; Psychological Testing;,TRUE,FALSE,POINT (-87.623000009 41.833164995)
"Ada S. McKinley Community Services, Inc. - Greenwood",8741 S. Greenwood Ave.,60631,773-918-6102,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;,Spanish,Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry; Psychological Testing;,TRUE,FALSE,POINT (-87.596735986 41.735436992)
"Ada S. McKinley Community Services, Inc. - Wentworth",6033 S. Wentworth,60632,773-918-6103,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;,Spanish,Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry; Psychological Testing;,TRUE,FALSE,POINT (-87.629902003 41.784326998)
Alivio Medical Center - Benito Juarez Community Academy,1450 W. Cermak Road,60608,773-254-1400,Weekdays: Monday through Friday 8:30am-12:00pm and 1:00pm-4:00pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,Primarily high school students at Juarez Academy,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Psychiatry;,TRUE,TRUE,POINT (-87.662525977 41.852509642)
Alivio Medical Center - Morgan Location,966 W. 21st St.,60608,773-254-1400,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm;  Wednesday 1pm - 8pm
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.65098601 41.854159987)
Alivio Medical Center - Western Location,2355 S. Western Ave.,60608,773-254-1400,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm;  Wednesday 1pm - 8pm
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.685167998 41.848540004)
"Alternatives, Inc - Washington Park",241 E. 57th St.,60637,773-506-7474,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,TRUE,TRUE,POINT (-87.620118676 41.791064998)
Apna Ghar - Main location,"4350 N. Broadway St., 2nd Floor",60613,773-883-4663,"Weekdays: Monday - Friday 9am - 6 pm
Weekends: Saturday 9am - 6pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old;,Amharic; Arabic; Bengali; Bosnian; Dari; Farsi; French; Gujarati; Kurdish; Malayalam; Nepali; Pashto; Spanish; Tagalog; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Group Therapy or Support Groups; Peer Support Services;,TRUE,FALSE,POINT (-87.65533999 41.961382004)
Apna Ghar - Northtown Public Library,6800 N Western Avenue,60645,773-883-4663,Weekdays: Friday 2pm - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old;,Hindi,Community health worker services,FALSE,FALSE,POINT (-87.690425966 42.005475006)
Asian Human Services Family Health Center,2501 W. Peterson Ave.,60659,773-761-0300,"Weekdays: Monday, Wednesday, & Friday 9am - 5pm; Tuesday & Thursday 11am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Gujarati; Hindi; Telugu; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,TRUE,TRUE,POINT (-87.692327987 41.990226019)
"Asian Human Services Family Health Center - Peterson, Niles and Skokie",6301 N. Western Ave.,60659,773-761-0300,"Weekdays: Monday, Wednesday, & Friday 9am - 5pm; Tuesday & Thursday 9am -7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Gujarati; Hindi; Telugu; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,TRUE,TRUE,POINT (-87.689460035 41.996293008)
Aunt Martha's Health and Wellness - Humboldt Park Community Health Center,2501 W. Peterson Ave.,60659,773-761-0300,"Weekdays: Monday, Wednesday, & Friday 9am - 5pm; Tuesday & Thursday 11am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Gujarati; Hindi; Telugu; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,TRUE,TRUE,POINT (-87.692327987 41.990226019)
Aunt Martha's Health and Wellness - Southeast Side Community Health Center,6301 N. Western Ave.,60659,773-761-0300,"Weekdays: Monday, Wednesday, & Friday 9am - 5pm; Tuesday & Thursday 9am -7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Gujarati; Hindi; Telugu; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,TRUE,TRUE,POINT (-87.689460035 41.996293008)
Bobby E. Wright Comprehensive Behavioral Health,5002 W. Madison St.,60644,773-722-7900,Weekends: Saturday 8am - 12pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,0,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,TRUE,TRUE,POINT (-87.750240905 41.880553349)
BUILD Inc.,5100 W. Harrison St.,60644,773-227-2880,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.753625013 41.87325501)
Carolina Therapeutic Services (CTS) Health - North,2715 N. Central Ave.,60639,773-360-1389,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,TRUE,TRUE,POINT (-87.765821017 41.930036997)
Carolina Therapeutic Services (CTS) Health - South,4756 E. 47th St.,60653,773-360-1389,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,TRUE,TRUE,POINT (-87.742483138 41.807707938)
Catholic Charities - Englewood,6202 S. Halsted St.,60621,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.645203 41.781248996)
Catholic Charities - Logan Square,3114 W. Armitage Ave.,60647,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.705869036 41.917766981)
Catholic Charities - Near North Side,721 N. Lasalle Dr.,60611,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.632194035 41.895283992)
Catholic Charities - Near West Side,2310 W Roosevelt Rd,60608,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.684088996 41.866929984)
Catholic Charities - Roseland,11255 S. Michigan Ave.,60628,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.620965201 41.689579414)
Catholic Charities- South Chicago,9119 S. Exchange Ave.,60617,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.552115008 41.729502017)
CDPH Englewood Mental Health Clinic,641 W. 63rd St.,60621,312-747-7496,Weekdays: Monday - Friday 8:30am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups;  Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.641298961 41.779505979)
CDPH Greater Grand Mental Health Clinic,4314 S. Cottage Grove Ave.,60653,312-747-0036,Weekdays: Monday - Friday 8:30am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - long term;  Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.607178999 41.816225002)
CDPH Greater Lawn Mental Health Clinic,4150 W. 55th St.,60632,312-747-1020,"Weekdays: Monday, Wednesday, & Friday 8:30am - 4:30pm; Tuesday & Thursday 8:30am - 7:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old; 13-17 years old;18-24 years old;25-64 years old; Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,TRUE,TRUE,POINT (-87.727718981 41.79343599)
CDPH Lawndale Mental Health Clinic,1105 S. Western Ave.,60612,312-746-5905,Weekdays: Monday - Friday 8:30am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Intensive Outpatient Program; Peer Support Services; Psychiatry;,FALSE,TRUE,POINT (-87.685645012 41.868192005)
CDPH North River Mental Health Clinic,"5801 N. Pulaski Rd., Building C",60646,312-744-1906,"Weekdays: Monday, Tuesday, & Friday 8:30am - 4:30pm; Wednesday & Thursday 8:30am - 7:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Psychiatry;,FALSE,TRUE,POINT (-87.728461928 41.986396557)
Chicago Family Health Center - Chicago Lawn,3223 W. 63rd St.,60629,773-768-5000,"Weekdays: Monday 8:30am - 5pm; Tuesday - Friday 8:30am - 5pm
Weekends: Saturday 8:30am - 1pm (2nd & 4th)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;18-24 years old;13-17 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.70414404 41.778583006)
Chicago Family Health Center - CVCA SBHC,2100 E. 87th St.,60617,773-768-5000,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old; Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,FALSE,TRUE,POINT (-87.572737004 41.738053989)
Chicago Family Health Center - East Side,10536 S. Ewing Ave.,60617,773-768-5000,"Weekdays: Monday, Wednesday, Thursday, & Friday 8:30am - 5pm; Tuesday 8:30am - 8pm
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting;,FALSE,FALSE,POINT (-87.53559302 41.703493014)
Chicago Family Health Center - Pullman,570 E. 115th St.,60628,773-768-5000,"Weekdays: Monday & Thursday 8:30am - 8pm; Tuesday, Wednesday, & Friday 8:30am - 5pm
Weekends: Saturday 8:30am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.608742978 41.685760008)
Chicago Family Health Center - Roseland,120 W. 111st St.,60628,773-768-5000,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Peer Support Services;,FALSE,TRUE,POINT (-87.626915028 41.692859983)
Chicago Family Health Center - South Chicago,9119 S. Exchange Ave.,60617,773-768-5000,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old; Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Peer Support Services;,FALSE,FALSE,POINT (-87.552115008 41.729502017)
